ID,Name,Type,Longitude ,Latitude ,Evacuation_Centers
0,Beligaha Junction,junction,80.2176095,6.0577241,
1,Julgaha Junction,junction,80.2080099,6.0530731,
2,level_crossing,level_crossing,80.2067628,6.0524737,
3,level_crossing,level_crossing,80.1967326,6.0544546,
4,Peduruwella Junction,junction,80.2076608,6.0428919,
5,mini_roundabout,mini_roundabout,80.5488765,5.9448778,
6,mini_roundabout,mini_roundabout,80.5925466,7.2658888,
7,Rawana Ella Falls,attraction,81.0545064,6.8409997,
8,crossing,crossing,80.2120468,6.0435163,
9,level_crossing,level_crossing,80.1999061,6.0543196,
10,level_crossing,level_crossing,80.2219357,6.0415643,
11,level_crossing,level_crossing,80.2151552,6.0405914,
12,Sinhagiri Building,traffic_signals,80.9888732,6.8304482,
13,Rathgama Junction,junction,80.1415876,6.091494,
14,traffic_signals,traffic_signals,79.8659103,6.8513066,
15,level_crossing,level_crossing,80.1894272,6.0538287,
16,level_crossing,level_crossing,80.2136933,6.0402372,
17,level_crossing,level_crossing,80.2390141,6.0342178,
18,traffic_signals,traffic_signals,79.8638054,6.8624541,
19,traffic_signals,traffic_signals,79.8660577,6.8513023,
20,level_crossing,level_crossing,80.1568521,6.0759817,
21,level_crossing,level_crossing,80.1419464,6.0918261,
22,Boossa,station,80.1611139,6.073831,
23,Kumarakanda,station,80.124233,6.1123269,
24,traffic_signals,traffic_signals,79.8781681,6.9437865,
25,traffic_signals,traffic_signals,79.8784454,6.9503454,
26,traffic_signals,traffic_signals,79.8771349,6.8969859,
27,level_crossing,level_crossing,80.1955113,6.053994,
28,Sanghamitta College,school,80.2121695,6.0471249,Yes
29,Mahinda College,school,80.2151194,6.0494692,Yes
30,Richmond College,school,80.2058949,6.052497,Yes
31,Leeds International College,school,80.2169341,6.0536761,Yes
32,Jennath International School,school,80.2234114,6.0481631,Yes
33,cinema,cinema,80.2167113,6.0341188,
34,Cargills Food City,supermarket,80.215379,6.0333734,
35,Mahagedara Sundale Food City,supermarket,80.2212002,6.0482585,
36,Sea Fair Food City,supermarket,80.2197472,6.0349158,
37,level_crossing,level_crossing,80.2405702,6.0322347,
38,Ceylinco Sussex College - Bandarawella,school,80.97719,6.8390855,Yes
39,Lighthouse Hotel & Spa,hotel,80.19465,6.0421075,
40,Tuwakugala Temple,place_of_worship,80.2193468,6.0411635,Yes
41,Wijayananda Temple,place_of_worship,80.2205901,6.03943,Yes
42, Temple,place_of_worship,80.2204785,6.044276,Yes
43,Piyathigama,station,80.190787,6.053705,
44,Ceylinco Sussex College - Galle,school,80.2041564,6.0573239,Yes
45,Thiranagama,station,80.1144039,6.1223608,
46,level_crossing,level_crossing,80.1117805,6.1242428,
47,level_crossing,level_crossing,80.107668,6.1271275,
48,traffic_signals,traffic_signals,79.8655066,6.927307,
49,traffic_signals,traffic_signals,79.8639232,6.929049,
50,Kollupitiya,station,79.848095,6.9112982,
51,Bambalapitiya,station,79.8529462,6.8934925,
52,Kompanna Vidiya (Slave Island),station,79.8495588,6.9235162,
53,Ginthota,station,80.1792825,6.0609005,
54,Dehiwela,station,79.8620928,6.8509003,
55,Mount Lavinia,station,79.862578,6.8318228,
56,Panadura,station,79.9044706,6.7124126,
57,Wadduwa,station,79.9285569,6.6631559,
58,level_crossing,level_crossing,79.9454599,6.6186561,
59,Kalutara North,station,79.9542495,6.6011962,
60,Kalutara South,station,79.9589021,6.5840293,
61,level_crossing,level_crossing,79.9791686,6.5208157,
62,Payagala,station,79.9787169,6.5220496,
63,level_crossing,level_crossing,80.1361834,6.0963972,
64,Dodanduwa,station,80.132896,6.0982724,
65,level_crossing,level_crossing,80.1249829,6.1115679,
66,Hikkaduwa,station,80.1001478,6.1420597,
67,Seenigama,station,80.0947898,6.158599,
68,Kahawe,station,80.0740131,6.1832204,
69,level_crossing,level_crossing,80.0644016,6.2029916,
70,Madampagama,station,80.0612519,6.2122142,
71,level_crossing,level_crossing,80.0550864,6.2338843,
72,Ambalangoda,station,80.0550766,6.2353162,
73,Balapititya,station,80.0433602,6.2763798,
74,Ahungalla,station,80.0376128,6.312778,
75,Kosgoda,station,80.0293911,6.3385972,
76,Richmond Hill,station,80.2047817,6.0538463,
77,level_crossing,level_crossing,80.1633872,6.0727005,
78,Secretariat Railway Station,station,79.8460292,6.9315069,
79,Wellawatta,station,79.8574503,6.8748378,
80,Kalutara Bodhiya,place_of_worship,79.9601326,6.5869445,Yes
81,Sinharaja Hermitage Temple,place_of_worship,80.6107565,6.4533677,Yes
82,Hirimbura Junction,junction,80.2176693,6.0656358,
83,Ananda College,school,80.2094164,6.0626307,Yes
